[10/Jun/2014:17:53:10:000 +0000]|200.19.190.152|10.62.204.42|/Benchmarks/MultiplicaMatrizServlet|0|200.19.190.152|0
[10/Jun/2014:17:55:03:000 +0000]|10.102.12.52|127.0.1.1|/Benchmarks/MultiplicaMatrizServlet|4|10.102.12.52|220
[10/Jun/2014:17:55:04:001 +0000]|10.102.12.52|127.0.1.1|/Benchmarks/MultiplicaMatrizServlet|17|10.102.12.52|221
[10/Jun/2014:17:55:04:002 +0000]|10.102.12.52|127.0.1.1|/Benchmarks/MultiplicaMatrizServlet|78|10.102.12.52|221
[10/Jun/2014:17:55:04:003 +0000]|10.102.12.52|127.0.1.1|/Benchmarks/MultiplicaMatrizServlet|41|10.102.12.52|221
[10/Jun/2014:17:55:05:004 +0000]|10.102.12.52|127.0.1.1|/Benchmarks/MultiplicaMatrizServlet|21|10.102.12.52|221
[10/Jun/2014:17:55:05:005 +0000]|10.102.12.52|127.0.1.1|/Benchmarks/MultiplicaMatrizServlet|112|10.102.12.52|222
[10/Jun/2014:17:55:06:006 +0000]|10.102.12.52|127.0.1.1|/Benchmarks/MultiplicaMatrizServlet|60|10.102.12.52|221
[10/Jun/2014:17:55:06:007 +0000]|10.102.12.52|127.0.1.1|/Benchmarks/MultiplicaMatrizServlet|24|10.102.12.52|221
[10/Jun/2014:17:55:07:008 +0000]|10.102.12.52|127.0.1.1|/Benchmarks/MultiplicaMatrizServlet|4|10.102.12.52|220
[10/Jun/2014:17:55:07:009 +0000]|10.102.12.52|127.0.1.1|/Benchmarks/MultiplicaMatrizServlet|76|10.102.12.52|221
[10/Jun/2014:17:55:08:010 +0000]|10.102.12.52|127.0.1.1|/Benchmarks/MultiplicaMatrizServlet|31|10.102.12.52|221
[10/Jun/2014:17:55:08:011 +0000]|10.102.12.52|127.0.1.1|/Benchmarks/MultiplicaMatrizServlet|3|10.102.12.52|220
[10/Jun/2014:17:55:09:012 +0000]|10.102.12.52|127.0.1.1|/Benchmarks/MultiplicaMatrizServlet|4|10.102.12.52|220
[10/Jun/2014:17:55:09:013 +0000]|10.102.12.52|127.0.1.1|/Benchmarks/MultiplicaMatrizServlet|2|10.102.12.52|220
[10/Jun/2014:17:55:10:014 +0000]|10.102.12.52|127.0.1.1|/Benchmarks/MultiplicaMatrizServlet|36|10.102.12.52|221
[10/Jun/2014:17:55:10:015 +0000]|10.102.12.52|127.0.1.1|/Benchmarks/MultiplicaMatrizServlet|32|10.102.12.52|221
[10/Jun/2014:17:55:11:016 +0000]|10.102.12.52|127.0.1.1|/Benchmarks/MultiplicaMatrizServlet|2|10.102.12.52|220
[10/Jun/2014:17:55:11:017 +0000]|10.102.12.52|127.0.1.1|/Benchmarks/MultiplicaMatrizServlet|25|10.102.12.52|221
[10/Jun/2014:17:55:12:018 +0000]|10.102.12.52|127.0.1.1|/Benchmarks/MultiplicaMatrizServlet|3|10.102.12.52|220
[10/Jun/2014:17:55:12:019 +0000]|10.102.12.52|127.0.1.1|/Benchmarks/MultiplicaMatrizServlet|2|10.102.12.52|220
[10/Jun/2014:17:55:13:020 +0000]|10.102.12.52|127.0.1.1|/Benchmarks/MultiplicaMatrizServlet|3|10.102.12.52|220
[10/Jun/2014:17:55:13:021 +0000]|10.102.12.52|127.0.1.1|/Benchmarks/MultiplicaMatrizServlet|16|10.102.12.52|221
[10/Jun/2014:17:55:14:022 +0000]|10.102.12.52|127.0.1.1|/Benchmarks/MultiplicaMatrizServlet|45|10.102.12.52|221
